condition,goal,group,session,drug,subject,trial,day,loc_1,loc_2,obj,loc_1_time,loc_2_time,total,start_time,comments,run_nr,originalnr
od,UL,1,6,0,32366,4,Mon,UL,UR,40,,,,,,439,439
od,UL,1,6,0,32366,5,Mon,UL,UR,28,,,,,,440,440
od,UR,1,6,0,32365,6,Tue,UR,LL,7,,,,,,441,441
od,UR,1,6,0,32365,7,Tue,UR,LL,4,,,,,,442,442
od,UR,1,6,0,32365,8,Tue,UR,LL,39,,,,,,443,443
od,UR,1,6,0,32365,9,Tue,UR,LL,27,,,,,,444,444
od,UR,1,6,0,32365,10,Tue,UR,LL,33,,,,,,445,445
or,UL,1,6,0,32364,6,Tue,UL,UR,7,,,,,,446,446
or,UL,1,6,0,32364,7,Tue,UL,LR,4,,,,,,447,447
or,UL,1,6,0,32364,8,Tue,UL,LL,39,,,,,,448,448
or,UL,1,6,0,32364,9,Tue,UL,LR,27,,,,,,449,449
or,UL,1,6,0,32364,10,Tue,UL,LL,33,,,,,,450,450
con,,1,6,0,32363,6,Tue,LR,LL,7,,,,,,451,451
con,,1,6,0,32363,7,Tue,LR,UL,4,,,,,,452,452
con,,1,6,0,32363,8,Tue,UR,LR,39,,,,,,453,453
con,,1,6,0,32363,9,Tue,LL,UR,27,,,,,,454,454
con,,1,6,0,32363,10,Tue,LR,UL,33,,,,,,455,455
od,UL,1,6,0,32366,6,Tue,UL,UR,7,,,,,,456,456
od,UL,1,6,0,32366,7,Tue,UL,UR,4,,,,,,457,457
od,UL,1,6,0,32366,8,Tue,UL,UR,39,,,,,,458,458
od,UL,1,6,0,32366,9,Tue,UL,UR,27,,,,,,459,459
od,UL,1,6,0,32366,10,Tue,UL,UR,33,,,,,,460,460
od,UR,1,6,0,32365,11,Wed,UR,LL,8,,,,,,461,461
od,UR,1,6,0,32365,12,Wed,UR,LL,38,,,,,,462,462
od,UR,1,6,0,32365,13,Wed,UR,LL,26,,,,,,463,463
od,UR,1,6,0,32365,14,Wed,UR,LL,31,,,,,,464,464
od,UR,1,6,0,32365,15,Wed,UR,LL,24,,,,,,465,465
or,UL,1,6,0,32364,11,Wed,UL,LL,8,,,,,,466,466
or,UL,1,6,0,32364,12,Wed,UL,UR,38,,,,,,467,467
or,UL,1,6,0,32364,13,Wed,UL,LR,26,,,,,,468,468
or,UL,1,6,0,32364,14,Wed,UL,LR,31,,,,,,469,469
or,UL,1,6,0,32364,15,Wed,UL,LL,24,,,,,,470,470
con,,1,6,0,32363,11,Wed,UR,UL,8,,,,,,471,471
con,,1,6,0,32363,12,Wed,LR,UL,38,,,,,,472,472
con,,1,6,0,32363,13,Wed,LR,LL,26,,,,,,473,473
con,,1,6,0,32363,14,Wed,LL,UR,31,,,,,,474,474
con,,1,6,0,32363,15,Wed,LR,UL,24,,,,,,475,475
od,UL,1,6,0,32366,11,Wed,UL,UR,8,,,,,,476,476
od,UL,1,6,0,32366,12,Wed,UL,UR,38,,,,,,477,477
od,UL,1,6,0,32366,13,Wed,UL,UR,26,,,,,,478,478
od,UL,1,6,0,32366,14,Wed,UL,UR,31,,,,,,479,479
od,UL,1,6,0,32366,15,Wed,UL,UR,24,,,,,,480,480
od,UR,1,6,0,32365,16,Thu,UR,LL,36,,,,,,481,481
od,UR,1,6,0,32365,17,Thu,UR,LL,21,,,,,,482,482
od,UR,1,6,0,32365,18,Thu,UR,LL,32,,,,,,483,483
od,UR,1,6,0,32365,19,Thu,UR,LL,9,,,,,,484,484
od,UR,1,6,0,32365,20,Thu,UR,LL,34,,,,,,485,485
or,UL,1,6,0,32364,16,Thu,UL,LL,36,,,,,,486,486
or,UL,1,6,0,32364,17,Thu,UL,LR,21,,,,,,487,487
or,UL,1,6,0,32364,18,Thu,UL,LL,32,,,,,,488,488
or,UL,1,6,0,32364,19,Thu,UL,LR,9,,,,,,489,489
or,UL,1,6,0,32364,20,Thu,UL,UR,34,,,,,,490,490
con,,1,6,0,32363,16,Thu,LL,UL,36,,,,,,491,491
con,,1,6,0,32363,17,Thu,UR,LR,21,,,,,,492,492
con,,1,6,0,32363,18,Thu,LR,LL,32,,,,,,493,493
con,,1,6,0,32363,19,Thu,UL,UR,9,,,,,,494,494
con,,1,6,0,32363,20,Thu,LL,UL,34,,,,,,495,495
od,UL,1,6,0,32366,16,Thu,UL,UR,36,,,,,,496,496
od,UL,1,6,0,32366,17,Thu,UL,UR,21,,,,,,497,497
od,UL,1,6,0,32366,18,Thu,UL,UR,32,,,,,,498,498
od,UL,1,6,0,32366,19,Thu,UL,UR,9,,,,,,499,499
od,UL,1,6,0,32366,20,Thu,UL,UR,34,,,,,,500,500
od,UR,1,6,0,32365,21,Fri,UR,UL,12,,,,,,501,501
or,UL,1,6,0,32364,21,Fri,UL,UR,12,,,,,,502,502
con,,1,6,0,32363,21,Fri,UR,LL,12,,,,,,503,503
od,UL,1,6,0,32366,21,Fri,UL,LR,12,,,,,,504,504
