Epoch,train_loss,train mae,train acc,train auc,val_loss,val mae,val acc,val auc
1,0.34950513,0.20497562,0.85328317,0.9446479710618048,0.24241224,0.1422095,0.92028314,0.9687953892371994
2,0.2463552,0.13965252,0.91099703,0.9683986837153877,0.20200181,0.1125115,0.9285681,0.9718933069567977
3,0.24482554,0.14044751,0.91056883,0.9700318377742947,0.21164006,0.09998758,0.92756885,0.9716112092287273
4,0.22407202,0.12626687,0.91999745,0.9753963900871438,0.21549633,0.119894534,0.9272826,0.9767037982848827
5,0.21236688,0.12218276,0.9199975,0.9775734722641305,0.18708615,0.11396222,0.93128264,0.9773015986017787
6,0.19778043,0.111962214,0.9284253,0.9802723428908456,0.20862308,0.08987862,0.92814004,0.974400274286274
7,0.2076026,0.11766318,0.92471164,0.9776728288749008,0.17405109,0.09781155,0.9387115,0.9789539158156633
8,0.19355245,0.10828061,0.93099713,0.9805354589982738,0.18945496,0.11585368,0.93456835,0.9761966867970796
9,0.20346652,0.114508964,0.9255687,0.9775420439675777,0.18885164,0.091479264,0.9327114,0.9780439247292153
10,0.19388263,0.107336804,0.93128294,0.9810186585099837,0.19364716,0.12091914,0.92899686,0.9785187138984259
11,0.19979143,0.11190022,0.9295685,0.9781849611415883,0.19919793,0.12058588,0.92814004,0.9782957685528529
12,0.19465213,0.11121537,0.92613953,0.9799289285096499,0.17226794,0.098453514,0.9354258,0.9804647178897383
13,0.2009568,0.11302715,0.92671126,0.9777182894098575,0.17155863,0.10582242,0.93828255,0.9803528761654438
14,0.18441954,0.10456551,0.9325686,0.9819789262572473,0.17588174,0.10267649,0.93828267,0.9792453105913044
15,0.18403482,0.10371606,0.93299675,0.9817454606309095,0.16976433,0.08735032,0.9419973,0.9805875256930228
16,0.18442181,0.10425196,0.9315681,0.9817152774233067,0.18644378,0.09664684,0.9319974,0.9779775033731712
17,0.18216363,0.10179729,0.9342825,0.9807855369036599,0.17112671,0.0968589,0.9369975,0.9806852958963621
18,0.19550163,0.1083861,0.9301401,0.9788290028693252,0.16886693,0.09641226,0.93914044,0.9809698879223098
19,0.17816485,0.09991807,0.9355684,0.9811271096733301,0.17915939,0.09485386,0.93771106,0.9787672845405913
20,0.17989378,0.102373645,0.93285435,0.9815936767217891,0.16554698,0.08489934,0.9387115,0.9813906722612502
21,0.18282548,0.103505425,0.9311397,0.9802662557847619,0.16700618,0.10652721,0.93656874,0.9838824308495997
22,0.17024085,0.09699543,0.93814063,0.9835484573053492,0.17246526,0.09320555,0.937426,0.9801888351545559
23,0.18831944,0.105312586,0.9325683,0.980049604526407,0.15806206,0.09562797,0.9458545,0.9832613659440694
24,0.1742118,0.09744038,0.9371402,0.9830417374050211,0.17496426,0.10901619,0.93413997,0.980957817774064
25,0.17744343,0.10081989,0.9337112,0.9826906270728099,0.1748337,0.09602644,0.9389973,0.9800623638989268
26,0.16828795,0.09480003,0.93756837,0.9839158120147571,0.16765058,0.0993298,0.9384258,0.9811149756707477
27,0.16919225,0.09634745,0.93885416,0.9840077195864546,0.15934473,0.08618991,0.943854,0.9830398559894197
28,0.16461118,0.094539285,0.9384258,0.9852671969388183,0.1778224,0.09039415,0.93328214,0.9805848758693334
29,0.17032824,0.09663221,0.9374256,0.9845972905725232,0.15867645,0.08711438,0.94299775,0.9832777230369663
30,0.17544681,0.09882265,0.9347114,0.9827142165711521,0.16731258,0.10202236,0.9395684,0.9810801556847275
